Player,Span,Matches,Innings,Runs,Average,highestscore,100s,50s
DJ Bravo (WI),2004-2021,295,286,6423,26.32,113,5,27
Fakhar Zaman (PAK),2017-2026,210,203,6418,33.6,210*,11,34
RB Kanhai (WI),1957-1975,86,142,6391,47.69,256,15,30
KJ Hughes (AUS),1977-1985,167,212,6383,31.91,213,9,39
AP Gurusinha (SL),1985-1996,188,213,6354,31.61,143,9,30
TT Samaraweera (SL),1998-2013,134,174,6324,44.22,231,16,30
M Amarnath (IND),1969-1989,154,188,6302,37.96,138,13,37
MJ Slater (AUS),1993-2001,116,173,6299,38.17,219,14,30
KC Brathwaite (WI),2011-2025,110,203,6228,32.26,212,12,32
Mohammad Nabi (AFG),2009-2025,324,295,6212,24.84,136,2,25
A Balbirnie (IRE),2010-2025,239,240,6204,27.33,145*,9,34
Asad Shafiq (PAK),2010-2020,147,196,6188,33.26,137,12,36
DJ Mitchell (NZ),2019-2025,181,186,6187,39.66,190,12,34
AC Parore (NZ),1990-2002,257,289,6179,25.96,110,3,28
Sarfaraz Ahmed (PAK),2007-2023,232,228,6164,34.24,118,6,35
KC Wessels (AUS/SA),1982-1994,149,176,6155,37.07,179,7,41
K Srikkanth (IND),1981-1992,189,217,6153,29.3,123,6,39
RN Harvey (AUS),1948-1963,79,137,6149,48.41,205,21,24
IA Healy (AUS),1988-1999,287,302,6120,25.18,161*,4,26
JO Holder (WI),2013-2025,293,299,6056,25.66,202*,3,26
IM Chappell (AUS),1964-1980,91,152,6018,42.98,196,14,34
Moin Khan (PAK),1990-2004,288,287,6007,25.23,137,4,27
JJ Roy (ENG),2014-2023,185,184,5980,33.22,180,12,30
RD Berrington (SCOT),2008-2025,235,218,5935,32.43,127,7,31
A Jadeja (IND),1992-2000,211,203,5935,35.96,119,6,34
Umar Akmal (PAK),2009-2019,221,219,5887,31.65,129,3,34
KD Walters (AUS),1965-1981,102,149,5870,45.5,250,15,35
KJ O'Brien (IRE),2006-2021,266,250,5850,26.47,142,4,24
DP Conway (NZ),2020-2025,134,155,5823,41.89,227,12,30
DCS Compton (ENG),1937-1957,78,131,5807,50.06,278,17,28
E Chigumbura (Afr/ZIM),2004-2020,284,281,5802,23.58,117,2,26
RP Arnold (SL),1997-2007,225,225,5778,32.46,123,4,38
D Ramdin (WI),2005-2019,284,286,5734,24.5,169,6,24
AH Jones (NZ),1987-1995,126,161,5706,39.62,186,7,36
RS Kaluwitharana (SL),1990-2004,238,259,5644,23.41,132*,5,32
KR Rutherford (NZ),1985-1995,177,214,5608,28.46,108,5,36
GM Wood (AUS),1978-1989,142,189,5593,32.51,172,12,24
SM Katich (AUS),2001-2010,104,143,5581,42.28,157,11,34
